Date,Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Ground,Fatalities (air),Aboard,Survivors,Continent
1991-04-05,1991,Qtr 2,April,5,United States,Embraer,Embraer 120RT  BrasiliaN270AS,0,23,23,0,North America
1977-04-04,1977,Qtr 2,April,4,United States,McDonnell Douglas,McDonnell Douglas DC-9,8,62,85,23,North America
1945-04-21,1945,Qtr 2,April,21,Germany,Focke,Focke-Wulf Fw 200,0,21,21,0,Europe
1935-04-06,1935,Qtr 2,April,6,Germany,Fokker,Fokker F 12PH,0,7,7,0,Europe
1927-04-22,1927,Qtr 2,April,22,Germany,Fokker,Fokker FG IIID 729,0,2,2,0,Europe
1933-04-03,1933,Qtr 2,April,3,Germany,Junkers,Junkers F 13,0,1,2,1,Europe
1945-04-20,1945,Qtr 2,April,20,Germany,Junkers,Junkers Ju 52,0,18,20,2,Europe
1933-04-29,1933,Qtr 2,April,29,Germany,Junkers,Junkers W 34D,0,4,4,0,Europe
1931-04-14,1931,Qtr 2,April,14,Germany,Messerschmitt,Messerschmitt M 20D,0,2,10,8,Europe
1948-04-05,1948,Qtr 2,April,5,Germany,Vickers,Vickers Viking 1B & Soviet YAK 3 fighterG,0,14,14,0,Europe
1969-04-24,1969,Qtr 2,April,24,Ghana,McDonnell Douglas,Douglas DC 39G,0,1,33,32,Africa
1986-04-02,1986,Qtr 2,April,2,Greece,Boeing,Boeing B 727N54340,0,4,121,117,Europe
1985-04-20,1985,Qtr 2,April,20,Denmark,Fokker,Fokker F 27 Friendship 100YN,0,2,5,3,Europe
1982-04-26,1982,Qtr 2,April,26,China,Hawker Siddeley,Hawker Siddeley Trident 2EB 266,0,112,112,0,Asia
1977-04-27,1977,Qtr 2,April,27,Guatemala,Convair,Convair CV 440TG,0,28,28,0,North America
2007-04-25,2007,Qtr 2,April,25,Guyana,Pilatus,Pilatus Britten Norman BN 2A,0,3,5,2,South America
1992-04-22,1992,Qtr 2,April,22,United States,Beechcraft,Beechcraft E18SN342E,0,9,9,0,North America
1988-04-28,1988,Qtr 2,April,28,United States,Boeing,Boeing 737,0,1,95,94,North America
1997-04-01,1997,Qtr 2,April,1,Honduras,Lockheed,Lockheed C 130H Hercules88,0,3,10,7,North America
1961-04-18,1961,Qtr 2,April,18,China,Unknown,C  47(DC,0,14,15,1,Asia
1951-04-09,1951,Qtr 2,April,9,China,McDonnell Douglas,Douglas DC 3HS,0,16,16,0,Asia
1927-04-15,1927,Qtr 2,April,15,United States,"Swallow
Swallow?","Swallow
Swallow?",0,1,1,0,North America
1993-04-26,1993,Qtr 2,April,26,India,Boeing,Boeing 737,0,55,118,63,Asia
1954-04-30,1954,Qtr 2,April,30,India,McDonnell Douglas,Douglas DC-3,0,5,11,6,Asia
1952-04-10,1952,Qtr 2,April,10,India,McDonnell Douglas,Douglas DC-3,0,4,4,0,Asia
1950-04-05,1950,Qtr 2,April,5,India,McDonnell Douglas,Douglas DC-3,0,3,3,0,Asia
1953-04-14,1953,Qtr 2,April,14,India,McDonnell Douglas,Douglas DC-3,0,3,3,0,Asia
2011-04-19,2011,Qtr 2,April,19,Eritrea,Mil,Mil Mi 172	VT,0,18,23,5,Africa
1951-04-28,1951,Qtr 2,April,28,United States,McDonnell Douglas,Douglas DC 3N16088,0,11,11,0,North America
1927-04-22,1927,Qtr 2,April,22,United States,McDonnell Douglas,Douglas M 4626,0,1,1,0,North America
1932-04-21,1932,Qtr 2,April,21,United States,Boeing Stearman,Stearman C 3MBNC6412,0,1,1,0,North America
2013-04-13,2013,Qtr 2,April,13,Indonesia,Boeing,Boeing 737,0,0,108,108,Asia
1997-04-19,1997,Qtr 2,April,19,Indonesia,British Aerospace,British Aerospace ATPPK MTX,0,15,53,38,Asia
2009-04-09,2009,Qtr 2,April,9,Indonesia,British Aerospace,British Aerospace 146,0,6,6,0,Asia
1994-04-25,1994,Qtr 2,April,25,Indonesia,Britten-Norman,Britten-Norman BN-2,0,11,11,0,Asia
2005-04-12,2005,Qtr 2,April,12,Indonesia,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,18,18,0,Asia
1981-04-28,1981,Qtr 2,April,28,Indonesia,McDonnell Douglas,Douglas DC-3,0,15,17,2,Asia
2009-04-06,2009,Qtr 2,April,6,Indonesia,Fokker,Fokker F 27 Friendship 400MA,0,24,24,0,Asia
